X,Y,longitude,latitude,unique_num,id_no,rev_bis,name_en,name_fr,short_desc,short_de_1,justificat,justific_1,date_inscr,secondary_,danger,date_end,danger_lis,area_hecta,C1,C2,C3,C4,C5,C6,N7,N8,N9,N10,criteria_t,category,category_s,states_nam,states_n_1,region_en,region_fr,iso_code,udnp_code,transbound,d,icon_url
3.06028,36.78333,3.060280000000000,36.783329999999999,"667","565",,Kasbah of Algiers,Casbah d'Alger,"<p>The Kasbah is a unique kind of medina, or Islamic city. It stands in one of the finest coastal sites on the Mediterranean, overlooking the islands where a Carthaginian trading-post was established in the 4th century BC. There are the remains of the ci","<p>Dans l’un des plus beaux sites maritimes de la Méditerranée, surplombant les îlots où un comptoir carthaginois fut installé dès le IVe siècle av. J.-C., la Casbah constitue un type unique de <em>médina</em> , ou ville islamique. Lieu de mém",,,"1992",,"0",,,54.700000000000003,"0","1","0","0","1","0","0","0","0","0",(ii)(v),Cultural,C,Algeria,Algérie,Arab States,États arabes,dz,dza,"0",1992/01/01,./0.png
1.595555556,42.49472222,1.595555556000000,42.494722220000000,"1487","1160",Bis,Madriu-Perafita-Claror Valley,La Vallée du Madriu-Perafita-Claror,"<p>The cultural landscape of Madriu-Perafita-Claror Valley offers a microcosmic perspective of the way people have harvested the resources of the high Pyrenees over millennia. Its dramatic glacial landscapes of craggy cliffs and glaciers, with high open","<p>Le paysage culturel de la vall&eacute;e du Madriu-Perafita-Claror est un microcosme qui t&eacute;moigne du g&eacute;nie d&eacute;ploy&eacute; par les populations des Pyr&eacute;n&eacute;es au cours du mill&eacute;naire pour exploiter les ressources lo",<p><em>Criterion (v):</em> The Madriu-Perafita-Claror Valley is a microcosm of the way its inhabitants have harvested the scarce resources of the high Pyrenees over the past millennia to create a sustainable living environment in harmony with the mountai,"<p><em>Crit&egrave;re (v)&nbsp;:</em> La Vall&eacute;e du Madriu-Perafita-Claror est un microcosme de la mani&egrave;re dont ses habitants ont recueilli les rares ressources des hautes Pyr&eacute;n&eacute;es au cours des derniers mill&eacute;naires pour","2004",,"0",,,4247.000000000000000,"0","0","0","0","1","0","0","0","0","0",(v),Cultural,C,Andorra,Andorre,Europe and North America,Europe et Amérique du Nord,ad,and,"0",2004/01/01,./0.png
14.2497222222,-6.2688888889,14.249722222200001,-6.268888888900000,"2128","1511",,"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo","Mbanza Kongo, vestiges de la capitale de l’ancien Royaume du Kongo","<p>The town of Mbanza Kongo, located on a plateau at an altitude of 570 m, was the political and spiritual capital of the Kingdom of Kongo, one of the largest constituted states in Southern Africa from the 14th to 19th centuries. The historical area gre","<p>La cité de Mbanza Kongo, située sur un plateau à 570 m d’altitude, était la capitale politique et spirituelle du Royaume du Kongo, l’un des plus grands États constitués d’Afrique australe du XIVe au XIXe siècle. La zone historique s’est",,,"2017",,"0",,,89.290000000000006,"0","0","1","1","0","0","0","0","0","0",(iii)(iv),Cultural,C,Angola,Angola,Africa,Afrique,ao,ang,"0",2017/01/01,./0.png
-61.7616666667,17.0069444444,-61.761666666700002,17.006944444399998,"2086","1499",,Antigua Naval Dockyard and Related Archaeological Sites,Chantier naval d’Antigua et sites archéologiques associés,"<p>The site consists of a group of Georgian-style naval buildings and structures, set within a walled enclosure. The natural environment of this side of the island of Antigua, with its deep, narrow bays surrounded by highlands, offered shelter from hurri","<p>Le site consiste en un ensemble de bâtiments et d’installations portuaires de l’époque géorgienne, bordé d'une enceinte fortifiée. L’environnement naturel de cette partie de l’île d’Antigua, avec ses baies profondes et étroites entour",,,"2016",,"0",,,255.000000000000000,"0","1","0","1","0","0","0","0","0","0",(ii)(iv),Cultural,C,Antigua and Barbuda,Antigua-et-Barbuda,Latin America and the Caribbean,Amérique latine et Caraïbes,ag,atg,"0",2016/01/01,./0.png
-73.24944,-50,-73.249440000000007,-50.000000000000000,"160","145",,Los Glaciares National Park,Parc national de Los Glaciares,"<p>The Los Glaciares National Park is an area of exceptional natural beauty, with rugged, towering mountains and numerous glacial lakes, including Lake Argentino, which is 160 km long. At its farthest end, three glaciers meet to dump their effluvia into","<p>Le parc national de Los Glaciares est un domaine d’une beauté naturelle exceptionnelle avec ses imposants sommets découpés et ses nombreux lacs glaciaires, dont le lac Argentino, long de 160 km. À son extrémité, trois glaciers se rejoignent et",,,"1981",,"0",,,726927.000000000000000,"0","0","0","0","0","0","1","1","0","0",(vii)(viii),Natural,N,Argentina,Argentine,Latin America and the Caribbean,Amérique latine et Caraïbes,ar,arg,"0",1981/01/01,./2.png
-54.286073,-25.577357,-54.286073000000002,-25.577356999999999,"340","303",,Iguazu National Park,Parc national de l'Iguazu,"<p>The semicircular waterfall at the heart of this site is some 80 m high and 2,700 m in diameter and is situated on a basaltic line spanning the border between Argentina and Brazil. Made up of many cascades producing vast sprays of water, it is one of t","<p>Haute de 80 m et longue de 2 700 m sur un front basaltique enjambant la frontière entre l’Argentine et le Brésil, la cataracte en semi-cercle au cœur de ce site est l’une des plus spectaculaires du monde. Divisée en cascades multiples produisa",,,"1984",,"0",,,55000.000000000000000,"0","0","0","0","0","0","1","0","0","1",(vii)(x),Natural,N,Argentina,Argentine,Latin America and the Caribbean,Amérique latine et Caraïbes,ar,arg,"0",1984/01/01,./2.png
-70.66666667,-47.15,-70.666666669999998,-47.149999999999999,"1091","936",,"Cueva de las Manos, Río Pinturas","Cueva de las Manos, Río Pinturas","<p>The Cueva de las Manos, R&iacute;o Pinturas, contains an exceptional assemblage of cave art, executed between 13,000 and 9,500 years ago. It takes its name (Cave of the Hands) from the stencilled outlines of human hands in the cave, but there are also","<p>La Cueva de las Manos, R&iacute;o Pinturas, renferme un ensemble exceptionnel d&rsquo;art rupestre ex&eacute;cut&eacute; il y a de cela 13 000 &agrave; 9 500 ans. Elle doit son nom (grotte aux mains) aux impressions de mains &ndash; comme au pochoir &",<p><em>Criterion (iii):</em> The Cueva de las Manos contains an outstanding collection of prehistoric rock art which bears witness to the culture of the earliest human societies in South America.</p>,"<p><em>Crit&egrave;re(iii):</em> La Cueva de las Manos renferme un ensemble exceptionnel d&rsquo;art rupestre pr&eacute;historique qui t&eacute;moigne de la culture des premi&egrave;res soci&eacute;t&eacute;s humaines en Am&eacute;rique du Sud.</p>","1999",,"0",,,600.000000000000000,"0","0","1","0","0","0","0","0","0","0",(iii),Cultural,C,Argentina,Argentine,Latin America and the Caribbean,Amérique latine et Caraïbes,ar,arg,"0",1999/01/01,./0.png
-64,-42.5,-64.000000000000000,-42.500000000000000,"1092","937",,Península Valdés,Presqu'île de Valdés,<p>Península Valdés in Patagonia is a site of global significance for the conservation of marine mammals. It is home to an important breeding population of the endangered southern right whale as well as important breeding populations of southern elepha,"<p>Située en Patagonie, la presqu’île de Valdés est un site d’importance mondiale pour la préservation des mammifères marins. Elle héberge d’importantes populations reproductrices de baleines franches menacées, ainsi que d’éléphants et d","<p><em>Criterion (x):</em> Peninsula Valdés contains very important and significant natural habitats for the in-situ conservation of several threatened species of outstanding universal value, and specifically its globally important concentration of bree",<p><em>Critère (x) :</em> La presqu’île de Valdés contient des habitats naturels très importants et significatifs pour la conservation in situ de plusieurs espèces menacées d’importance universelle exceptionnelle et notamment pour sa concentrat,"1999",,"0",,,360000.000000000000000,"0","0","0","0","0","0","0","0","0","1",(x),Natural,N,Argentina,Argentine,Latin America and the Caribbean,Amérique latine et Caraïbes,ar,arg,"0",1999/01/01,./2.png
-68,-30,-68.000000000000000,-30.000000000000000,"1130","966",,Ischigualasto / Talampaya Natural Parks,Parcs naturels d’Ischigualasto / Talampaya,"<p>These two contiguous parks, extending over 275,300 ha in the desert region on the western border of the Sierra Pampeanas of central Argentina, contain the most complete continental fossil record known from the Triassic Period (245-208 million years ag","<p>Ces deux parcs contigus s'&eacute;tendent sur plus de 275 300 ha dans la r&eacute;gion d&eacute;sertique jouxtant &agrave; l'ouest les Sierras Pampeanas du centre de l'Argentine. Ils renferment l'ensemble continental le plus complet au monde de fossil",<p><em>Criterion (viii):</em> The site contains a complete sequence of fossiliferous continental sediments representing the entire Triassic Period (45 million years) of geological history. No other place in the world has a fossil record comparable to tha,"<p><em>Crit&egrave;re (viii):</em> Le site contient une s&eacute;quence compl&egrave;te de s&eacute;diments continentaux fossilif&egrave;res repr&eacute;sentant l&rsquo;histoire g&eacute;ologique de la p&eacute;riode du Trias dans son entit&eacute; (45 m","2000",,"0",,,275369.000000000000000,"0","0","0","0","0","0","0","1","0","0",(viii),Natural,N,Argentina,Argentine,Latin America and the Caribbean,Amérique latine et Caraïbes,ar,arg,"0",2000/01/01,./2.png
-64.19111,-31.42056,-64.191109999999995,-31.420559999999998,"1159","995",,Jesuit Block and Estancias of Córdoba,Ensemble et les estancias jésuites de Córdoba,"<p>The Jesuit Block in C&oacute;rdoba, heart of the former Jesuit Province of Paraguay, contains the core buildings of the Jesuit system: the university, the church and residence of the Society of Jesus, and the college. Along with the five estancias, or","<p>L'ensemble de C&oacute;rdoba, noyau de l'ancienne province j&eacute;suite du Paraguay, comprend les principaux b&acirc;timents du syst&egrave;me j&eacute;suite : l'universit&eacute;, l'&eacute;glise, la r&eacute;sidence de la Compagnie de J&eacute;sus","<p><em>Criterion (ii):</em> The Jesuit buildings and ensembles of C&oacute;rdoba and the estancias are exceptional examples of the fusion of European and indigenous values and cultures during a seminal period in South America.</p>
<p><em>Criterion (iv):<","<p><em>Crit&egrave;re (ii):</em> Les &eacute;difices et les ensembles j&eacute;suites de C&oacute;rdoba, et des estancias, sont des exemples exceptionnels de la fusion des valeurs et cultures europ&eacute;ennes et indig&egrave;nes en Am&eacute;rique du s","2000",,"0",,,38.119999999999997,"0","1","0","1","0","0","0","0","0","0",(ii)(iv),Cultural,C,Argentina,Argentine,Latin America and the Caribbean,Amérique latine et Caraïbes,ar,arg,"0",2000/01/01,./0.png
-65.34886111,-23.19986111,-65.348861110000001,-23.199861110000001,"1295","1116",,Quebrada de Humahuaca,Quebrada de Humahuaca,"<p>Quebrada de Humahuaca follows the line of a major cultural route, the Camino Inca, along the spectacular valley of the Rio Grande, from its source in the cold high desert plateau of the High Andean lands to its confluence with the Rio Leone some 150 k","<p>Quebrada de Humahuaca suit un itinéraire culturel important, le Camino Inca, le long de la spectaculaire vallée du Rio Grande, depuis sa source dans les hauts plateaux désertiques et froids des Hautes Andes à sa confluence avec le Rio Leone, quelq","<p><em>Criterion (ii):</em> The Quebrada de Humahuaca valley has been used over the past 10,000 years as a crucial passage for the transport of people and ideas from the high Andean lands to the plains.</p>
<p><em>Criteria (iv) and (v):</em> The Quebrada",<p><em>Critère (ii):</em> La vallée Quebrada de Humahuaca a été utilisée sur plus de 10 000 ans en tant que passage essentiel pour le transport des populations et la transmission des idées depuis les hautes terres des Andes jusqu’aux plaines.</p>,"2003",,"0",,,172116.437500000000000,"0","1","0","1","1","0","0","0","0","0",(ii)(iv)(v),Cultural,C,Argentina,Argentine,Latin America and the Caribbean,Amérique latine et Caraïbes,ar,arg,"0",2003/01/01,./0.png
-71.8728,-42.8528,-71.872799999999998,-42.852800000000002,"2172","1526",,Los Alerces National Park,Parc national de Los Alerces,"<p>The Los Alerces National Park is located in the Andes of northern Patagonia and its western boundary  coincides with the Chilean border. Successive glaciations have moulded the landscape in the region creating spectacular features such as moraines, g","<p>Le Parc national de Los Alerces est situé dans les Andes, au nord de la Patagonie, ses limites occidentales coïncidant avec la frontière chilienne. Les glaciations successives ont façonné le paysage de la région et créé des paysages spectacula",,,"2017",,"0",,,188379.000000000000000,"0","0","0","0","0","0","1","0","0","1",(vii)(x),Natural,N,Argentina,Argentine,Latin America and the Caribbean,Amérique latine et Caraïbes,ar,arg,"0",2017/01/01,./2.png
44.71028,41.095,44.710279999999997,41.094999999999999,"920","777",Bis,Monasteries of Haghpat and Sanahin,Monastères de Haghbat et de Sanahin,<p>These two Byzantine monasteries in the Tumanian region from the period of prosperity during the Kiurikian dynasty (10th to 13th century) were important centres of learning. Sanahin was renown for its school of illuminators and calligraphers. The two m,<p>Ces deux monastères byzantins situés dans la région de Tumanian et datant de la période de prospérité de la dynastie de Kiurikian (Xe-XIIIe siècle) furent d’importants centres de diffusion de la culture. Sanahin était célèbre pour son éco,<p>The Committee decided to inscribe the Monastery of Haghpat on the basis of cultural <em>criteria (ii) and (iv)</em> considering that it is of outstanding universal value and an exceptional example of ecclesiastical architecture that developed in Armen,"<p>Le Comité a décidé d'inscrire le monastère de Haghbat sur la base des<em> critères culturels (ii) et (iv)</em> , considérant que ce bien est d'une valeur universelle exceptionnelle et constitue un exemple remarquable de l'architecture religieuse","1996","2000","0",,,2.650000000000000,"0","1","0","1","0","0","0","0","0","0",(ii)(iv),Cultural,C,Armenia,Arménie,Europe and North America,Europe et Amérique du Nord,am,arm,"0",1996/01/01,./0.png
44.79667,40.15889,44.796669999999999,40.158890000000000,"1124","960",,Monastery of Geghard and the Upper Azat Valley,Monastère de Gherart et la Haute vallée de l’Azat,"<p>The monastery of Geghard contains a number of churches and tombs, most of them cut into the rock, which illustrate the very peak of Armenian medieval architecture. The complex of medieval buildings is set into a landscape of great natural beauty, surr","<p>Le monast&egrave;re de Gherart abrite un certain nombre d'&eacute;glises et de tombes &ndash; pour la plupart troglodytes &ndash; repr&eacute;sentatives de l'apog&eacute;e de l'architecture m&eacute;di&eacute;vale arm&eacute;nienne. Cet ensemble de b&","<p><em>Criterion (ii):</em> The monastery of Geghard, with its remarkable rock-cut churches and tombs, is an exceptionally well preserved and complete example of medieval Armenian monastic architecture and decorative art, with many innovatory features wh","<p><em>Crit&egrave;re (ii):</em> Le monast&egrave;re de Gherart et ses &eacute;glises et tombes remarquables creus&eacute;es &agrave; m&ecirc;me la roche, est un exemple exceptionnellement bien pr&eacute;serv&eacute; et complet de l&rsquo;architecture mo","2000",,"0",,,2.700000000000000,"0","1","0","0","0","0","0","0","0","0",(ii),Cultural,C,Armenia,Arménie,Europe and North America,Europe et Amérique du Nord,am,arm,"0",2000/01/01,./0.png
44.29514,40.15931,44.295140000000004,40.159309999999998,"1181","1011",,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,Cathédrale et les églises d’Etchmiadzine et le site archéologique de Zvarnotz,"<p>The cathedral and churches of Echmiatsin and the archaeological remains at Zvartnots graphically illustrate the evolution and development of the Armenian central-domed cross-hall type of church, which exerted a profound influence on architectural and","<p>La cathédrale et les églises d'Etchmiadzine, ainsi que les vestiges archéologiques de Zvarnotz illustrent de manière vivante l'évolution et l'épanouissement de l'église-halle arménienne à coupole centrale et plan cruciforme, qui ont profondé","<p><em>Criterion (ii):</em> The developments in ecclesiastical architecture represented in an outstanding manner by the churches at Echmiatsin and the archaeological site of Zvartnots had a profound influence on church design over a wide region.</p>
<p><","<p><em>Critère (ii):</em> L’évolution de l’architecture religieuse, représentée de façon exceptionnelle par les églises d’Etchmiadzine et le site archéologique de Zvarnotz, a eu une profonde influence sur la conception des églises, et ce da","2000",,"0",,,74.299999999999997,"0","1","1","0","0","0","0","0","0","0",(ii)(iii),Cultural,C,Armenia,Arménie,Europe and North America,Europe et Amérique du Nord,am,arm,"0",2000/01/01,./0.png
132.8333333,-12.83333333,132.833333299999993,-12.833333330000000,"1872","147",Quater,Kakadu National Park,Parc national de Kakadu,"<p>This unique archaeological and ethnological reserve, located in the Northern Territory, has been inhabited continuously for more than 40,000 years. The cave paintings, rock carvings and archaeological sites record the skills and way of life of the reg","<p>Le parc constitue une r&eacute;serve arch&eacute;ologique et ethnologique unique au monde car les terres sur lesquelles il s&rsquo;&eacute;tend ont &eacute;t&eacute; habit&eacute;es en permanence depuis 40 000 ans. Des vestiges provenant des chasseurs",,,"1981","1987,1992","0",,,1980994.919999999925494,"1","0","0","0","0","1","1","0","1","1",(i)(vi)(vii)(ix)(x),Mixed,C/N,Australia,Australie,Asia and the Pacific,Asie et Pacifique,au,aus,"0",1981/01/01,./1.png
147.7,-18.28611111,147.699999999999989,-18.286111110000000,"172","154",,Great Barrier Reef,La Grande Barrière,"<p>The Great Barrier Reef is a site of remarkable variety and beauty on the north-east coast of Australia. It contains the world’s largest collection of coral reefs, with 400 types of coral, 1,500 species of fish and 4,000 types of mollusc. It also hol","<p>Au nord-est de la côte australienne, le plus grand ensemble corallien du monde offre, avec ses 400 espèces de coraux, ses 1 500 espèces de poissons et ses 4 000 espèces de mollusques, un spectacle d’une variété et d’une beauté extraordinair",,,"1981",,"0",,,34870000.000000000000000,"0","0","0","0","0","0","1","1","1","1",(vii)(viii)(ix)(x),Natural,N,Australia,Australie,Asia and the Pacific,Asie et Pacifique,au,aus,"0",1981/01/01,./2.png
151.2152777777,-33.8566666667,151.215277777700010,-33.856666666700001,"1457","166",rev,Sydney Opera House,Opéra de Sydney,"<p>Inaugurated in 1973, the Sydney Opera House is a great architectural work of the 20th century that brings together multiple strands of creativity and innovation in both architectural form and structural design. A great urban sculpture set in a remarka","<p>Inaugur&eacute; en 1973, l&rsquo;Op&eacute;ra de Sydney fait partie des &oelig;uvres architecturales majeures du XXe si&egrave;cle. Il associe divers courants innovants tant du point de vue de la forme architecturale que de la conception structurelle.",,,"2007",,"0",,,5.800000000000000,"1","0","0","0","0","0","0","0","0","0",(i),Cultural,C,Australia,Australie,Asia and the Pacific,Asie et Pacifique,au,aus,"0",2007/01/01,./0.png
143,-34,143.000000000000000,-34.000000000000000,"185","167",,Willandra Lakes Region,Région des lacs Willandra,"<p>The fossil remains of a series of lakes and sand formations that date from the Pleistocene can be found in this region, together with archaeological evidence of human occupation dating from 45–60,000 years ago. It is a unique landmark in the study o","<p>On trouve dans cette région les restes fossilisés d’une série de lacs et de formations dunaires du pléistocène, ainsi que la preuve archéologique d’une occupation humaine il y a de cela 60 000 à 45 000 ans. C’est un jalon unique dans l’",,,"1981",,"0",,,240000.000000000000000,"0","0","1","0","0","0","0","1","0","0",(iii)(viii),Mixed,C/N,Australia,Australie,Asia and the Pacific,Asie et Pacifique,au,aus,"0",1981/01/01,./1.png
145.4166667,-41.58333333,145.416666700000007,-41.583333330000002,"1950","181",Quinquies,Tasmanian Wilderness,Zone de nature sauvage de Tasmanie,"<p>In a region that has been subjected to severe glaciation, these parks and reserves, with their steep gorges, covering an area of over 1 million ha, constitute one of the last expanses of temperate rainforest in the world. Remains found in limestone ca","<p>Dans une r&eacute;gion qui a subi de fortes glaciations, ces parcs et r&eacute;serves, avec leurs gorges profondes, qui couvrent une superficie de plus d&rsquo;un million d&rsquo;hectares, constituent l&rsquo;une des derni&egrave;res &eacute;tendues d",,,"1982","1989","0",,,1584233.000000000000000,"0","0","1","1","0","1","1","1","1","1",(iii)(iv)(vi)(vii)(viii)(ix)(x),Mixed,C/N,Australia,Australie,Asia and the Pacific,Asie et Pacifique,au,aus,"0",1982/01/01,./1.png
159.0883333,-31.56555556,159.088333299999988,-31.565555560000000,"206","186",,Lord Howe Island Group,Îles Lord Howe,"<p>A remarkable example of isolated oceanic islands, born of volcanic activity more than 2,000 m under the sea, these islands boast a spectacular topography and are home to numerous endemic species, especially birds.</p>","<p>Remarquable exemple d’îles océaniques isolées, nées d’une activité volcanique sous-marine à plus de 2 000 m de profondeur, ces îles présentent une topographie spectaculaire et abritent de nombreuses espèces endémiques, en particulier d��",,,"1982",,"0",,,146300.000000000000000,"0","0","0","0","0","0","1","0","0","1",(vii)(x),Natural,N,Australia,Australie,Asia and the Pacific,Asie et Pacifique,au,aus,"0",1982/01/01,./2.png
